"","gene_id","gene_name","precursor_1_1","precursor_2.5_1","precursor_3_1","precursor_3.5_1","precursor_4.5_1","precursor_6_1","precursor_10_1","transcript_1_1","transcript_2.5_1","transcript_3_1","transcript_3.5_1","transcript_4.5_1","transcript_6_1","transcript_10_1"
"11001","ENSDARG00000004018","CHST13",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.931698259165987,2.79582098550598,2.60750788896224,2.74695981300935,-0.257350262103413,-0.329036242849782,1.60208154821159
"11002","ENSDARG00000095350","si:dkey-4c15.12",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.791405767150668,2.79576489094324,2.78640610177799,2.41241846236579,2.53425091881484,2.50263614265939,1.94209410609624
"11003","ENSDARG00000013950","pdf",-2.5,-2.5,-2.5,-2.5,-1.70571580403329,-1.93407426107628,-1.97659360738762,-1.08552089270385,-0.303076571543404,0.0110377108685497,-0.301182160933665,0.920842144121297,2.0030409155268,2.79532436893504
"11004","ENSDARG00000017242","garem",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.294076766857726,2.49636010712427,2.7948317392838,2.57705415605108,1.79947698838608,1.51478889010446,2.44160832891867
"11005","ENSDARG00000054177","adgra1a",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.140619132654816,2.35081972410275,2.79473610390581,2.10578537099643,-0.156827990707161,-1.31705371649561,-2.5
"11006","ENSDARG00000092765","znf1151",-2.5,-2.5,-2.5,-2.5,-0.985335917627982,-2.5,-2.5,-0.963328507017442,1.65139124530597,1.63723323695992,1.73563524464697,2.53349974593806,2.79431233234564,1.08101096454192
"11007","ENSDARG00000080823","BX276180.1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.85788147063637,-2.5,2.79419751677909,-0.132751748126011,-2.5
"11008","ENSDARG00000077072","si:ch73-280o22.2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.859262812267149,2.44447627609309,2.79402071655582,2.40683598068885,0.883552081372383,-1.38730969299921,-0.749578992810471
"11009","ENSDARG00000088828","paqr8",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.75800983201398,2.64930207856427,2.36284860084283,2.36470719893014,1.06861585308258,2.79340902865516,1.19673047358672
"11010","ENSDARG00000099753","zgc:63863",-2.5,-2.5,-1.97529962438201,-2.5,-2.5,-2.5,-2.5,0.628241764347439,2.79311973895381,2.39594024525629,2.76109377374002,2.18481350103007,1.41557485719587,0.518706439406364
"11011","ENSDARG00000102591","btr30",-2.5,-2.5,-2.5,-2.5,-2.5,-1.47544641279833,-2.5,-2.5,-1.10706627309414,-1.57013405280031,-0.755312375291447,-0.852375226914027,2.79265966967388,2.60263980664698
"11012","ENSDARG00000060120","glyctk",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.68696920143613,2.63717437292549,2.50138822376713,2.79243066286527,2.04195242584077,1.23114642172593,2.2772447971004
"11013","ENSDARG00000075111","als2a",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.0972678798483909,2.46115268885887,2.7065427414087,2.79222815926998,2.3486872324807,1.1355022369699,-2.19035441378635
"11014","ENSDARG00000096506","si:dkey-58j15.11",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.293511862568505,-0.258991124472432,1.04417033563059,2.79208698033288
"11015","ENSDARG00000086879","lins1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.821707667114853,2.79197803958279,1.91643380244688,2.51297898673933,0.021208361512922,0.680741215224376,0.639036795681959
"11016","ENSDARG00000019142","fam185a",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.13014020124905,2.79163699942704,0.809982437316963,2.34104643769264,-2.05968678816012,0.208667202402267,-0.0863999936570217
"11017","ENSDARG00000007264","nipsnap2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.18229423496983,2.08330191891901,2.49992497967441,1.94563770283643,2.52592606295566,1.79792194219648,2.79158490924032,1.73263828247579
"11018","ENSDARG00000090861","CABZ01087514.1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.85896769983025,2.79091590407696,1.89310980443038,2.71390694748924,0.932439262146607,0.00216256520403757,-2.5
"11019","ENSDARG00000014218","mecp2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.562537095960536,2.78990722494429,2.68819067790477,2.54055654896063,0.571679819121453,-1.9138295829692,-2.5
"11020","ENSDARG00000059700","agmat",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.53872195276067,2.05860053826433,1.73288570319153,2.15696287167213,2.61056072243216,2.78985444641985,-0.265826527968272
"11021","ENSDARG00000045754","mettl25",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.77645779460385,2.71252096965243,2.66650667728323,2.78982315389282,0.465922343756224,0.530290626560848,0.532237253529451
"11022","ENSDARG00000079308","tor3a",-2.5,-2.5,-2.5,-2.5,-1.22395633258343,-2.5,-2.5,-0.761790089253218,1.80362800032623,1.13452331535482,2.32625260636193,2.78977934321465,0.857431751109666,0.555374544283198
"11023","ENSDARG00000105549","RIC3",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.67409455288496,2.70977147599061,2.7887024340872,2.18331503238012,1.33971896460197,0.240302238124605,-2.5
